[SETTINGS]

#cell_size(width)	cell_size(height)	num_col_cells	num_row_cells
50	50	60	40
# type :0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = NoCollisionObjects, 5= RECT, 6=PIPE NORMAL, 7= koopas xanh_bay, 8= koopas ??_b?, 9= koopas ??_bay, 10=Coin NORMAL, 11=Goomba red bay, 12= Fire Bullet,13= FLOWER RED,14=Flower Bullet, 15=COIN CAN MOVE, 16=Leaf ,17=Mushroom Red,18=Question Brick Have Leaf, 19=Mushroom Green ,20=Question Brick Just Have Mushroom , 21= FLOWER GREEN , 22= FLOWER GREEN CAN SHOOT , 23= BREAKABLE BRICK , 24=BELL
#	25=HUD PANEL , 26=MARIO_LUIGI_HUD , 27=LIFE, 28= MONEY, 29=SCORE , 30=TIME_PICKER , 31= WORLD , 32=STACK NORMAL, 33=STACK MAX, 34=ITEM , 35= black black , 36=special item
#	37=PIPE DOWN , 38= PIPE UP , 39= SCORE AND 1VP ,40= WORDS END SCENE COURSE CLEAR , 41=WORDS END SCENE YOU GOT A CARD , 42=WORDS END SCENE ITEM
#	43= GACH BE ANIMATION TYPE LEFT TOP, 44= GACH BE ANIMATION TYPE RIGHT TOP, 45= GACH BE ANIMATION TYPE RIGHT BOTTOM, 46= GACH BE ANIMATION TYPE LEFT BOTTOM
#Obj_type	index_col	index_row	ani_set


[OBJECTS]



#==== BRICK HILLS 1
#===HANG 1
1	0	352	1300
1	16	352	1301
1	32	352	1301
1	48	352	1301
1	64	352	1301
1	80	352	1301
1	96	352	1301
1	112	352	1301
1	128	352	1301
1	144	352	1302
#===HANG 2
1	0	368	1303
1	16	368	1304
1	32	368	1304
1	48	368	1304
1	64	368	1304
1	80	368	1304
1	96	368	1304
1	112	368	1304
1	128	368	1304
1	144	368	1305
#===HANG 3
1	0	384	1303
1	16	384	1304
1	32	384	1304
1	48	384	1304
1	64	384	1304
1	80	384	1304
1	96	384	1304
1	112	384	1304
1	128	384	1304
1	144	384	1305
#===HANG 4
1	0	400	1303
1	16	400	1304
1	32	400	1304
1	48	400	1304
1	64	400	1304
1	80	400	1304
1	96	400	1304
1	112	400	1304
1	128	400	1304
1	144	400	1305
#===HANG 5
1	0	416	1303
1	16	416	1304
1	32	416	1304
1	48	416	1304
1	64	416	1304
1	80	416	1304
1	96	416	1304
1	112	416	1304
1	128	416	1304
1	144	416	1305


#==== BRICK HILLS 2
#HANG 1
5	1968	368	1300
5	1984	368	1301
5	2000	368	1302


#==== GACH NHO XEP HANG DOC
1	2032	240	1306
1	2032	256	1306
1	2032	272	1306
1	2032	288	1306
1	2032	304	1306
1	2032	320	1306
1	2032	336	1306
1	2032	352	1306
1	2032	368	1306
1	2032	384	1306


#==== TANG GACH BU
#===HANG 1
1	1920	400	1307
1	1936	400	1308
1	1952	400	1308
1	1968	400	1308
1	1984	400	1308
1	2000	400	1308
1	2016	400	1308
1	2032	400	1309
#===HANG 2
1	1920	416	1310
1	1936	416	1311
1	1952	416	1311
1	1968	416	1311
1	1984	416	1311
1	2000	416	1311
1	2016	416	1311
1	2032	416	1312


#ONG CONG 2
6	2191	384	80
6	2208	384	81
6	2192	400	82
6	2208	400	83

# MARIO ALWAY THE LAST TO BE DRAW
#0	8	300	1
#0	1990	328	1
#0	2300	328	1
0	1960	300	1




#ONG CONG 1
37	1936	336	405
6	1937	352	82
6	1953	352	83
6	1937	368	82
6	1953	368	83
6	1937	384	82
6	1953	384	83


# --- HÀNG GACH NHO HANG NGANG ----
1	2064	416	30
1	2080	416	31
1	2096	416	31
1	2112	416	31
1	2128	416	31
1	2144	416	31
1	2160	416	31
1	2176	416	31
1	2192	416	31
1	2208	416	31
1	2224	416	31
1	2240	416	31
1	2256	416	31
1	2272	416	31
1	2288	416	31
1	2304	416	31
1	2320	416	31
1	2336	416	31
1	2352	416	31
1	2368	416	31
1	2384	416	31
1	2400	416	31
1	2416	416	31
1	2432	416	31
1	2448	416	31
1	2464	416	31
1	2480	416	31
1	2496	416	31
1	2512	416	31
1	2528	416	31
1	2544	416	31
1	2560	416	32



#==== WORDS END SCENE 1
40	2648	0	1140
41	2628	30	1140
42	2760	20	1140


#=====  BREAKABLE BRICK
#===== HANG 1
23	224	352	403
23	240	352	403
23	256	352	403
23	272	352	403
#===== HANG 2
23	384	336	403
23	400	336	403
23	416	336	403
23	432	336	403
23	448	336	403
#===== HANG 3
23	608	288	403
23	624	288	403
20	640	288	218
23	656	288	403
#===== HANG 4
23	640	368	403
23	656	368	403
#===== HANG 5
23	752	320	403
23	752	336	403
23	752	352	403
23	752	368	403
23	752	368	403
23	768	368	403
23	784	368	403
#===== HANG 6
23	864	336	403
23	864	336	403
23	864	336	403
23	864	352	403
23	880	352	403
23	896	352	403
#===== HANG 7
23	944	336	403
23	944	352	403
18	960	352	218
#===== HANG 8
23	960	400	403
23	976	400	403
23	992	400	403
23	1008	400	403
#===== HANG 9
48	1008	352	218
23	1024	352	403
23	1040	352	403
23	1056	352	403
23	1072	352	403
#===== HANG 10
23	1152	384	403
23	1168	384	403
23	1184	384	403
23	1200	384	403
23	1216	384	403
#===== HANG 11
23	1184	304	403
23	1200	304	403
23	1216	304	403
20	1232	304	218
#===== HANG 12
23	1264	368	403
23	1280	368	403
#===== HANG 13
23	1392	304	403
23	1408	304	403
23	1424	304	403
#===== HANG 14
48	1536	288	218
23	1536	304	403
#===== HANG 15
23	1536	368	403
23	1536	384	403
23	1536	400	403
23	1552	400	403
23	1568	400	403
23	1584	400	403
#===== HANG 16
23	1728	288	403
23	1728	304	403
23	1728	320	403
#===== HANG 17
23	1776	368	403
23	1792	368	403
23	1808	368	403


#==== MOVING HORIZONTAL RECTANGLE
49	368	320	1313	0
49	560	352	1313	1
49	592	304	1313	2
49	624	400	1313	3
49	752	336	1313	4
49	1088	384	1313	5
49	1200	320	1313	6
49	1376	352	1313	7
49	1408	336	1313	8
49	1552	304	1313	9
49	1776	336	1313	10
49	1744	384	1313	11
49	1792	416	1313	12


#==== BOOMERANG ENEMY
#51	70	300	1315





#===== KOOPAS RED FLY
#52	180	230	89



#===== COIN
10	337	304	209
10	353	304	209
10	369	304	209
10	417	272	209
10	433	272	209
10	449	272	209
10	769	304	209
10	785	304	209
10	801	304	209
10	849	272	209
10	865	272	209
10	881	272	209
10	1329	288	209
10	1345	288	209
10	1361	288	209
10	1505	272	209
10	1505	288	209
10	1505	304	209
10	1505	320	209
10	1505	336	209
10	1505	352	209
10	1505	368	209
10	1505	384	209
10	1889	304	209
10	1905	304	209
10	1921	304	209
